filename,gt,pred,correct,infer_ms,score_leaf,score_not_leaf
LE0095.RAW,leaf,leaf,1,270,108,-109
LE0096.RAW,leaf,leaf,1,269,88,-91
LE0097.RAW,leaf,leaf,1,270,86,-85
LE0098.RAW,leaf,leaf,1,270,88,-87
LE0099.RAW,leaf,leaf,1,270,34,-38
LE0100.RAW,leaf,leaf,1,270,62,-60
LE0101.RAW,leaf,leaf,1,271,99,-97
LE0102.RAW,leaf,leaf,1,271,100,-101
LE0103.RAW,leaf,not_leaf,0,270,-25,25
LE0104.RAW,leaf,leaf,1,270,88,-91
LE0105.RAW,leaf,leaf,1,270,79,-75
LE0106.RAW,leaf,leaf,1,270,90,-91
LE0107.RAW,leaf,leaf,1,270,94,-94
LE0108.RAW,leaf,leaf,1,271,72,-69
LE0109.RAW,leaf,leaf,1,270,112,-113
LE0110.RAW,leaf,leaf,1,270,80,-80
LE0111.RAW,leaf,leaf,1,271,29,-24
LE0112.RAW,leaf,leaf,1,270,79,-80
LE0113.RAW,leaf,leaf,1,270,95,-96
LE0114.RAW,leaf,not_leaf,0,271,-67,65
LE0115.RAW,leaf,leaf,1,270,30,-31
LE0116.RAW,leaf,leaf,1,270,69,-64
LE0117.RAW,leaf,leaf,1,270,83,-84
LE0118.RAW,leaf,leaf,1,270,99,-102
LE0119.RAW,leaf,leaf,1,270,64,-65
LE0120.RAW,leaf,leaf,1,271,110,-109
LE0121.RAW,leaf,leaf,1,270,107,-105
LE0122.RAW,leaf,leaf,1,271,77,-71
LE0123.RAW,leaf,leaf,1,270,85,-86
LE0124.RAW,leaf,leaf,1,271,88,-86
LE0125.RAW,leaf,leaf,1,270,109,-111
LE0126.RAW,leaf,leaf,1,271,75,-75
LE0127.RAW,leaf,leaf,1,270,75,-76
LE0128.RAW,leaf,leaf,1,271,76,-75
LE0129.RAW,leaf,leaf,1,271,81,-77
LE0130.RAW,leaf,leaf,1,271,103,-104
LE0131.RAW,leaf,leaf,1,271,8,-5
LE0132.RAW,leaf,leaf,1,270,80,-81
LE0133.RAW,leaf,not_leaf,0,271,-94,104
LE0134.RAW,leaf,leaf,1,271,48,-40
LE0135.RAW,leaf,leaf,1,271,83,-83
LE0136.RAW,leaf,leaf,1,272,96,-95
LE0137.RAW,leaf,leaf,1,271,85,-84
LE0138.RAW,leaf,leaf,1,271,77,-75
LE0139.RAW,leaf,leaf,1,271,55,-53
LE0140.RAW,leaf,leaf,1,271,120,-121
LE0141.RAW,leaf,leaf,1,271,96,-96
LE0142.RAW,leaf,not_leaf,0,270,-13,16
LE0143.RAW,leaf,leaf,1,271,96,-97
LE0144.RAW,leaf,leaf,1,271,89,-90
LE0145.RAW,leaf,not_leaf,0,271,-17,29
LE0146.RAW,leaf,not_leaf,0,271,-22,25
LE0147.RAW,leaf,leaf,1,271,99,-101
LE0148.RAW,leaf,leaf,1,271,118,-119
LE0149.RAW,leaf,leaf,1,270,114,-115
LE0150.RAW,leaf,leaf,1,271,48,-50
LE0151.RAW,leaf,not_leaf,0,271,-23,21
LE0152.RAW,leaf,leaf,1,270,91,-93
LE0153.RAW,leaf,leaf,1,271,91,-96
LE0154.RAW,leaf,leaf,1,270,77,-75
LE0155.RAW,leaf,leaf,1,271,100,-100
LE0156.RAW,leaf,leaf,1,272,104,-106
LE0157.RAW,leaf,leaf,1,271,52,-53
LE0158.RAW,leaf,not_leaf,0,271,-14,13
LE0159.RAW,leaf,leaf,1,270,110,-113
LE0160.RAW,leaf,leaf,1,271,35,-31
LE0161.RAW,leaf,leaf,1,271,53,-47
LE0162.RAW,leaf,leaf,1,271,94,-96
LE0163.RAW,leaf,leaf,1,271,52,-49
LE0164.RAW,leaf,leaf,1,271,15,-12
LE0165.RAW,leaf,leaf,1,271,73,-74
LE0166.RAW,leaf,not_leaf,0,271,-96,92
LE0167.RAW,leaf,leaf,1,271,88,-91
LE0168.RAW,leaf,leaf,1,270,76,-76
LE0169.RAW,leaf,leaf,1,271,106,-106
LE0170.RAW,leaf,leaf,1,271,98,-100
LE0171.RAW,leaf,leaf,1,271,27,-28
LE0172.RAW,leaf,leaf,1,271,44,-44
LE0173.RAW,leaf,leaf,1,271,91,-93
LE0174.RAW,leaf,leaf,1,271,96,-95
LE0175.RAW,leaf,leaf,1,270,102,-103
LE0176.RAW,leaf,leaf,1,270,97,-95
LE0177.RAW,leaf,leaf,1,270,109,-109
LE0178.RAW,leaf,leaf,1,270,107,-106
LE0179.RAW,leaf,leaf,1,270,102,-104
LE0180.RAW,leaf,leaf,1,270,91,-94
LE0181.RAW,leaf,leaf,1,270,36,-33
LE0182.RAW,leaf,not_leaf,0,270,-31,32
LE0183.RAW,leaf,leaf,1,270,85,-87
LE0184.RAW,leaf,leaf,1,270,110,-112
LE0185.RAW,leaf,leaf,1,270,97,-99
LE0186.RAW,leaf,leaf,1,271,26,-24
LE0187.RAW,leaf,leaf,1,270,99,-101
LE0188.RAW,leaf,leaf,1,270,95,-98
LE0189.RAW,leaf,leaf,1,271,2,0
LE0190.RAW,leaf,leaf,1,272,127,-128
LE0191.RAW,leaf,leaf,1,270,63,-62
LE0192.RAW,leaf,leaf,1,270,34,-36
LE0193.RAW,leaf,leaf,1,271,40,-39
LE0194.RAW,leaf,leaf,1,270,92,-91
LE0195.RAW,leaf,leaf,1,270,76,-78
LE0196.RAW,leaf,not_leaf,0,270,-11,14
LE0197.RAW,leaf,leaf,1,271,59,-57
LE0198.RAW,leaf,leaf,1,270,106,-108
LE0199.RAW,leaf,leaf,1,270,107,-108
LE0200.RAW,leaf,leaf,1,271,105,-106
NL0001.RAW,not_leaf,not_leaf,1,272,-123,127
NL0002.RAW,not_leaf,not_leaf,1,271,-122,127
NL0003.RAW,not_leaf,not_leaf,1,271,-105,112
NL0004.RAW,not_leaf,not_leaf,1,271,-121,120
NL0005.RAW,not_leaf,not_leaf,1,271,-105,113
NL0006.RAW,not_leaf,not_leaf,1,271,-49,55
NL0007.RAW,not_leaf,not_leaf,1,272,-128,127
NL0008.RAW,not_leaf,not_leaf,1,272,-8,14
NL0009.RAW,not_leaf,not_leaf,1,271,-98,108
NL0010.RAW,not_leaf,not_leaf,1,271,-122,127
NL0011.RAW,not_leaf,not_leaf,1,271,-120,127
NL0012.RAW,not_leaf,not_leaf,1,271,-92,99
NL0013.RAW,not_leaf,not_leaf,1,270,-88,96
NL0014.RAW,not_leaf,not_leaf,1,271,-110,118
NL0015.RAW,not_leaf,not_leaf,1,271,-104,108
NL0016.RAW,not_leaf,not_leaf,1,271,-98,116
NL0017.RAW,not_leaf,not_leaf,1,271,-104,112
NL0018.RAW,not_leaf,not_leaf,1,271,-107,118
NL0019.RAW,not_leaf,not_leaf,1,272,-94,113
NL0020.RAW,not_leaf,not_leaf,1,272,-86,109
NL0021.RAW,not_leaf,not_leaf,1,271,-125,127
NL0022.RAW,not_leaf,not_leaf,1,271,-90,99
NL0023.RAW,not_leaf,not_leaf,1,271,-102,119
NL0024.RAW,not_leaf,not_leaf,1,271,-71,72
NL0025.RAW,not_leaf,not_leaf,1,271,-120,118
NL0026.RAW,not_leaf,not_leaf,1,272,-128,127
NL0027.RAW,not_leaf,not_leaf,1,271,-106,112
NL0028.RAW,not_leaf,not_leaf,1,271,-128,127
NL0029.RAW,not_leaf,not_leaf,1,272,-25,25
NL0030.RAW,not_leaf,not_leaf,1,271,-109,116
NL0031.RAW,not_leaf,not_leaf,1,271,-99,108
NL0032.RAW,not_leaf,not_leaf,1,272,-128,127
NL0033.RAW,not_leaf,not_leaf,1,272,-119,127
NL0034.RAW,not_leaf,not_leaf,1,272,-122,127
NL0035.RAW,not_leaf,not_leaf,1,271,-120,126
NL0036.RAW,not_leaf,not_leaf,1,271,-70,76
NL0037.RAW,not_leaf,not_leaf,1,271,-115,127
NL0038.RAW,not_leaf,not_leaf,1,271,-90,97
NL0039.RAW,not_leaf,not_leaf,1,270,-128,127
NL0040.RAW,not_leaf,not_leaf,1,271,-128,127
NL0041.RAW,not_leaf,not_leaf,1,270,-128,127
NL0042.RAW,not_leaf,not_leaf,1,270,-128,127
NL0043.RAW,not_leaf,not_leaf,1,271,-94,108
NL0044.RAW,not_leaf,not_leaf,1,270,-125,126
NL0045.RAW,not_leaf,not_leaf,1,270,-111,121
NL0046.RAW,not_leaf,not_leaf,1,270,-126,127
NL0047.RAW,not_leaf,not_leaf,1,271,-128,127
NL0048.RAW,not_leaf,not_leaf,1,271,-95,103
NL0049.RAW,not_leaf,not_leaf,1,271,-128,127
NL0050.RAW,not_leaf,not_leaf,1,271,-87,90
NL0051.RAW,not_leaf,not_leaf,1,271,-128,127
NL0052.RAW,not_leaf,not_leaf,1,270,-102,108
NL0053.RAW,not_leaf,leaf,0,270,2,2
NL0054.RAW,not_leaf,not_leaf,1,271,-123,127
NL0055.RAW,not_leaf,not_leaf,1,271,-92,93
NL0056.RAW,not_leaf,not_leaf,1,271,-35,38
NL0057.RAW,not_leaf,not_leaf,1,271,-106,119
NL0058.RAW,not_leaf,not_leaf,1,271,-128,127
NL0059.RAW,not_leaf,not_leaf,1,271,-112,116
NL0060.RAW,not_leaf,not_leaf,1,271,-73,78
NL0061.RAW,not_leaf,not_leaf,1,271,-90,103
NL0062.RAW,not_leaf,not_leaf,1,271,-109,116
NL0063.RAW,not_leaf,not_leaf,1,270,-122,127
NL0064.RAW,not_leaf,not_leaf,1,271,-122,127
NL0065.RAW,not_leaf,not_leaf,1,271,-85,89
NL0066.RAW,not_leaf,not_leaf,1,271,-127,127
NL0067.RAW,not_leaf,not_leaf,1,271,-108,120
NL0068.RAW,not_leaf,not_leaf,1,270,-96,100
NL0069.RAW,not_leaf,not_leaf,1,271,-93,102
NL0070.RAW,not_leaf,not_leaf,1,271,-103,104
NL0071.RAW,not_leaf,not_leaf,1,271,-125,122
NL0072.RAW,not_leaf,not_leaf,1,271,-128,127
NL0073.RAW,not_leaf,not_leaf,1,271,-111,120
NL0074.RAW,not_leaf,not_leaf,1,271,-119,127
NL0075.RAW,not_leaf,not_leaf,1,271,-102,118
NL0076.RAW,not_leaf,not_leaf,1,271,-106,117
NL0077.RAW,not_leaf,not_leaf,1,271,-100,108
NL0078.RAW,not_leaf,not_leaf,1,271,-128,127
NL0079.RAW,not_leaf,not_leaf,1,271,-79,85
NL0080.RAW,not_leaf,not_leaf,1,271,-128,127
NL0081.RAW,not_leaf,not_leaf,1,271,-84,89
NL0082.RAW,not_leaf,not_leaf,1,270,-76,81
NL0083.RAW,not_leaf,not_leaf,1,270,-78,79
NL0084.RAW,not_leaf,not_leaf,1,271,-116,125
NL0085.RAW,not_leaf,not_leaf,1,271,-121,127
NL0086.RAW,not_leaf,not_leaf,1,270,-101,110
NL0087.RAW,not_leaf,not_leaf,1,271,-128,127
NL0088.RAW,not_leaf,not_leaf,1,271,-78,82
NL0089.RAW,not_leaf,not_leaf,1,271,-112,122
NL0090.RAW,not_leaf,not_leaf,1,272,-110,121
NL0091.RAW,not_leaf,not_leaf,1,271,-128,127
NL0092.RAW,not_leaf,not_leaf,1,271,-128,127
NL0093.RAW,not_leaf,not_leaf,1,271,-128,127
NL0094.RAW,not_leaf,not_leaf,1,272,-128,127
NL0095.RAW,not_leaf,not_leaf,1,271,-109,117
NL0096.RAW,not_leaf,not_leaf,1,271,-84,91
NL0097.RAW,not_leaf,not_leaf,1,271,-76,85
NL0098.RAW,not_leaf,not_leaf,1,271,-97,105
NL0099.RAW,not_leaf,not_leaf,1,271,-95,111
NL0100.RAW,not_leaf,not_leaf,1,271,-128,127
NL0101.RAW,not_leaf,not_leaf,1,271,-57,67
NL0102.RAW,not_leaf,not_leaf,1,272,-128,127
NL0103.RAW,not_leaf,not_leaf,1,271,-101,105
NL0104.RAW,not_leaf,not_leaf,1,272,-114,125
NL0105.RAW,not_leaf,not_leaf,1,271,-107,118
NL0106.RAW,not_leaf,not_leaf,1,271,-57,62
NL0107.RAW,not_leaf,not_leaf,1,271,-112,119
NL0108.RAW,not_leaf,not_leaf,1,271,-108,114
NL0109.RAW,not_leaf,not_leaf,1,271,-128,127
NL0110.RAW,not_leaf,not_leaf,1,272,-97,108
NL0111.RAW,not_leaf,not_leaf,1,272,-117,127
NL0112.RAW,not_leaf,not_leaf,1,271,-116,122
NL0113.RAW,not_leaf,not_leaf,1,272,-103,105
NL0114.RAW,not_leaf,not_leaf,1,271,-106,103
NL0115.RAW,not_leaf,not_leaf,1,272,-115,127
NL0116.RAW,not_leaf,not_leaf,1,272,-128,127
NL0117.RAW,not_leaf,not_leaf,1,271,-119,123
NL0118.RAW,not_leaf,not_leaf,1,271,-120,127
NL0119.RAW,not_leaf,not_leaf,1,271,-128,127
NL0120.RAW,not_leaf,not_leaf,1,271,-91,87
NL0121.RAW,not_leaf,not_leaf,1,271,-78,86
NL0122.RAW,not_leaf,not_leaf,1,271,-128,127
NL0123.RAW,not_leaf,not_leaf,1,271,-119,124
NL0124.RAW,not_leaf,not_leaf,1,271,-97,103
NL0125.RAW,not_leaf,not_leaf,1,271,-112,121
NL0126.RAW,not_leaf,not_leaf,1,271,-101,111
NL0127.RAW,not_leaf,not_leaf,1,271,-128,127
NL0128.RAW,not_leaf,not_leaf,1,271,-113,118
NL0129.RAW,not_leaf,not_leaf,1,271,-107,117
NL0130.RAW,not_leaf,not_leaf,1,271,-117,125
NL0131.RAW,not_leaf,not_leaf,1,271,-119,127
NL0132.RAW,not_leaf,not_leaf,1,271,-128,127
NL0133.RAW,not_leaf,not_leaf,1,272,-119,127
NL0134.RAW,not_leaf,not_leaf,1,271,-103,104
NL0135.RAW,not_leaf,not_leaf,1,271,-6,9
NL0136.RAW,not_leaf,not_leaf,1,270,-77,97
NL0137.RAW,not_leaf,not_leaf,1,270,-128,127
NL0138.RAW,not_leaf,not_leaf,1,271,-128,127
NL0139.RAW,not_leaf,not_leaf,1,272,-114,122
NL0140.RAW,not_leaf,not_leaf,1,271,-97,106
NL0141.RAW,not_leaf,not_leaf,1,270,-38,40
NL0142.RAW,not_leaf,not_leaf,1,271,-68,76
NL0143.RAW,not_leaf,not_leaf,1,271,-118,126
NL0144.RAW,not_leaf,not_leaf,1,270,-125,127
NL0145.RAW,not_leaf,not_leaf,1,271,-125,127
NL0146.RAW,not_leaf,not_leaf,1,271,-128,127
NL0147.RAW,not_leaf,not_leaf,1,271,-107,113
NL0148.RAW,not_leaf,not_leaf,1,271,-123,127
NL0149.RAW,not_leaf,leaf,0,270,4,0
NL0150.RAW,not_leaf,not_leaf,1,271,-118,127
NL0151.RAW,not_leaf,not_leaf,1,270,-104,105
NL0152.RAW,not_leaf,not_leaf,1,271,-125,127
NL0153.RAW,not_leaf,not_leaf,1,271,-128,127
NL0154.RAW,not_leaf,not_leaf,1,270,-124,127
NL0155.RAW,not_leaf,not_leaf,1,271,-106,115
NL0156.RAW,not_leaf,not_leaf,1,271,-126,127
NL0157.RAW,not_leaf,not_leaf,1,271,-128,127
NL0158.RAW,not_leaf,not_leaf,1,271,-108,119
NL0159.RAW,not_leaf,not_leaf,1,271,-12,18
NL0160.RAW,not_leaf,not_leaf,1,271,-122,127
NL0161.RAW,not_leaf,not_leaf,1,271,-121,127
NL0162.RAW,not_leaf,not_leaf,1,270,-119,125
NL0163.RAW,not_leaf,not_leaf,1,270,-128,127
NL0164.RAW,not_leaf,not_leaf,1,271,-105,113
NL0165.RAW,not_leaf,not_leaf,1,270,-107,106
NL0166.RAW,not_leaf,not_leaf,1,270,-111,111
NL0167.RAW,not_leaf,not_leaf,1,271,-110,116
NL0168.RAW,not_leaf,not_leaf,1,271,-93,101
NL0169.RAW,not_leaf,not_leaf,1,270,-31,32
NL0170.RAW,not_leaf,not_leaf,1,271,-113,117
NL0171.RAW,not_leaf,leaf,0,270,36,-33
NL0172.RAW,not_leaf,not_leaf,1,270,-104,119
NL0173.RAW,not_leaf,not_leaf,1,271,-109,111
NL0174.RAW,not_leaf,not_leaf,1,271,-127,127
NL0175.RAW,not_leaf,not_leaf,1,271,-118,127
NL0176.RAW,not_leaf,not_leaf,1,271,-103,114
NL0177.RAW,not_leaf,not_leaf,1,271,-128,127
NL0178.RAW,not_leaf,not_leaf,1,271,-105,117
NL0179.RAW,not_leaf,not_leaf,1,270,-121,125
NL0180.RAW,not_leaf,not_leaf,1,270,-117,124
NL0181.RAW,not_leaf,not_leaf,1,271,-97,116
NL0182.RAW,not_leaf,not_leaf,1,270,-128,127
NL0183.RAW,not_leaf,not_leaf,1,271,-108,117
NL0184.RAW,not_leaf,not_leaf,1,270,-119,122
NL0185.RAW,not_leaf,not_leaf,1,272,-128,127
NL0186.RAW,not_leaf,not_leaf,1,270,-76,79
NL0187.RAW,not_leaf,not_leaf,1,270,-123,127
NL0188.RAW,not_leaf,not_leaf,1,271,-114,124
NL0189.RAW,not_leaf,not_leaf,1,271,-117,127
NL0190.RAW,not_leaf,not_leaf,1,271,-128,127
NL0191.RAW,not_leaf,not_leaf,1,271,-114,126
NL0192.RAW,not_leaf,not_leaf,1,271,-128,127
NL0193.RAW,not_leaf,not_leaf,1,271,-128,127
NL0194.RAW,not_leaf,not_leaf,1,271,-116,117
NL0195.RAW,not_leaf,not_leaf,1,271,-118,124
NL0196.RAW,not_leaf,not_leaf,1,271,-121,127
NL0197.RAW,not_leaf,not_leaf,1,271,-108,122
NL0198.RAW,not_leaf,not_leaf,1,271,-100,107
NL0199.RAW,not_leaf,not_leaf,1,271,-123,127
NL0200.RAW,not_leaf,not_leaf,1,271,-118,127
LE0201.RAW,leaf,leaf,1,271,98,-99
LE0202.RAW,leaf,leaf,1,270,80,-80
LE0203.RAW,leaf,not_leaf,0,271,-127,126
LE0204.RAW,leaf,not_leaf,0,270,-49,50
LE0205.RAW,leaf,leaf,1,270,99,-102
LE0206.RAW,leaf,leaf,1,270,93,-93
LE0207.RAW,leaf,leaf,1,270,60,-62
LE0208.RAW,leaf,leaf,1,272,99,-101
LE0209.RAW,leaf,leaf,1,271,90,-90
LE0210.RAW,leaf,leaf,1,271,55,-55
LE0211.RAW,leaf,leaf,1,271,96,-95
LE0212.RAW,leaf,leaf,1,270,88,-90
LE0213.RAW,leaf,leaf,1,270,61,-60
LE0214.RAW,leaf,leaf,1,270,87,-88
LE0215.RAW,leaf,leaf,1,271,104,-106
LE0216.RAW,leaf,leaf,1,270,50,-50
LE0217.RAW,leaf,leaf,1,271,41,-42
LE0218.RAW,leaf,leaf,1,270,77,-77
LE0219.RAW,leaf,leaf,1,271,98,-96
LE0220.RAW,leaf,leaf,1,270,116,-118
LE0221.RAW,leaf,leaf,1,271,15,-15
LE0222.RAW,leaf,leaf,1,272,57,-53
LE0223.RAW,leaf,leaf,1,271,23,-22
LE0224.RAW,leaf,leaf,1,271,65,-63
LE0225.RAW,leaf,leaf,1,270,85,-82
LE0226.RAW,leaf,not_leaf,0,271,-7,12
LE0227.RAW,leaf,leaf,1,271,118,-117
LE0228.RAW,leaf,leaf,1,270,92,-93
LE0229.RAW,leaf,leaf,1,271,107,-106
LE0230.RAW,leaf,leaf,1,271,56,-55
LE0231.RAW,leaf,leaf,1,270,54,-50
LE0232.RAW,leaf,leaf,1,271,112,-111
LE0233.RAW,leaf,leaf,1,271,72,-72
LE0234.RAW,leaf,leaf,1,271,62,-58
LE0235.RAW,leaf,leaf,1,271,48,-47
LE0236.RAW,leaf,leaf,1,270,103,-103
LE0237.RAW,leaf,leaf,1,270,81,-82
LE0238.RAW,leaf,leaf,1,270,77,-78
LE0239.RAW,leaf,leaf,1,270,105,-105
LE0240.RAW,leaf,leaf,1,271,58,-57
LE0241.RAW,leaf,leaf,1,271,66,-60
LE0242.RAW,leaf,leaf,1,271,106,-106
LE0243.RAW,leaf,leaf,1,271,86,-86
LE0244.RAW,leaf,leaf,1,271,107,-111
LE0245.RAW,leaf,leaf,1,271,92,-89
LE0246.RAW,leaf,leaf,1,271,73,-74
LE0247.RAW,leaf,leaf,1,270,95,-98
LE0248.RAW,leaf,leaf,1,270,103,-104
LE0249.RAW,leaf,leaf,1,270,55,-52
LE0250.RAW,leaf,leaf,1,272,101,-103
LE0251.RAW,leaf,leaf,1,270,83,-85
LE0252.RAW,leaf,not_leaf,0,271,-40,42
LE0253.RAW,leaf,leaf,1,271,115,-116
LE0254.RAW,leaf,leaf,1,271,91,-88
LE0255.RAW,leaf,leaf,1,271,41,-38
LE0256.RAW,leaf,leaf,1,271,116,-115
LE0257.RAW,leaf,leaf,1,271,69,-68
LE0258.RAW,leaf,leaf,1,271,44,-42
LE0259.RAW,leaf,leaf,1,270,89,-91
LE0260.RAW,leaf,leaf,1,270,82,-82
LE0261.RAW,leaf,leaf,1,272,81,-78
LE0262.RAW,leaf,leaf,1,270,119,-122
LE0263.RAW,leaf,not_leaf,0,271,-37,47
LE0264.RAW,leaf,leaf,1,270,23,-20
LE0265.RAW,leaf,leaf,1,271,96,-97
LE0266.RAW,leaf,leaf,1,270,75,-77
LE0267.RAW,leaf,not_leaf,0,271,-7,14
LE0268.RAW,leaf,leaf,1,271,86,-81
LE0269.RAW,leaf,leaf,1,270,127,-128
LE0270.RAW,leaf,leaf,1,271,112,-111
LE0271.RAW,leaf,leaf,1,270,86,-88
LE0272.RAW,leaf,leaf,1,271,108,-107
LE0273.RAW,leaf,not_leaf,0,271,-36,39
LE0274.RAW,leaf,not_leaf,0,270,-44,40
LE0275.RAW,leaf,not_leaf,0,271,-51,59
LE0276.RAW,leaf,not_leaf,0,270,-41,43
LE0277.RAW,leaf,leaf,1,270,88,-90
LE0278.RAW,leaf,leaf,1,270,96,-96
LE0279.RAW,leaf,leaf,1,270,88,-89
LE0280.RAW,leaf,leaf,1,270,59,-58
LE0281.RAW,leaf,leaf,1,270,89,-92
LE0282.RAW,leaf,leaf,1,270,85,-85
LE0283.RAW,leaf,leaf,1,270,92,-94
LE0284.RAW,leaf,leaf,1,270,30,-34
LE0285.RAW,leaf,leaf,1,270,64,-65
LE0286.RAW,leaf,leaf,1,270,48,-49
LE0287.RAW,leaf,leaf,1,271,92,-88
LE0288.RAW,leaf,leaf,1,270,116,-117
LE0289.RAW,leaf,leaf,1,270,66,-65
LE0290.RAW,leaf,leaf,1,270,90,-92
LE0291.RAW,leaf,leaf,1,270,88,-91
LE0292.RAW,leaf,leaf,1,270,23,-21
LE0293.RAW,leaf,leaf,1,271,19,-12
LE0294.RAW,leaf,leaf,1,271,76,-78
LE0295.RAW,leaf,leaf,1,270,94,-93
LE0296.RAW,leaf,not_leaf,0,271,-36,40
LE0297.RAW,leaf,not_leaf,0,271,-13,15
LE0298.RAW,leaf,leaf,1,270,67,-65
LE0299.RAW,leaf,leaf,1,271,19,-14
LE0300.RAW,leaf,not_leaf,0,270,-35,41
LE0301.RAW,leaf,leaf,1,270,83,-83
LE0302.RAW,leaf,leaf,1,271,113,-110
LE0303.RAW,leaf,leaf,1,270,60,-57
